customerID,tenure,Contract,InternetService,MonthlyCharges,TotalCharges,Churn,Cluster,Churn_Probability,Risk_Level,Segment_Churn_Rate,Priority,Retention_Recommendation
1069-XAIEM,1,Month-to-month,Fiber optic,85.05,85.05,1,1,81.91,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2545-EBUPK,2,Month-to-month,Fiber optic,84.05,186.05,0,1,81.8,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6023-YEBUP,3,Month-to-month,Fiber optic,100.95,329.95,1,1,81.8,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9057-SIHCH,3,Month-to-month,Fiber optic,96.6,291.9,1,1,81.77,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5192-EBGOV,1,Month-to-month,Fiber optic,85.7,85.7,1,1,81.71,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1400-MMYXY,3,Month-to-month,Fiber optic,105.9,334.65,1,1,81.71,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0781-LKXBR,9,Month-to-month,Fiber optic,100.5,918.6,1,1,81.58,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6496-SLWHQ,3,Month-to-month,Fiber optic,105.0,294.45,1,1,81.5,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2660-EMUBI,10,Month-to-month,Fiber optic,95.35,898.35,1,1,81.43,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5277-ZLOOR,2,Month-to-month,Fiber optic,85.55,187.45,1,1,81.34,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4695-WJZUE,2,Month-to-month,Fiber optic,88.55,179.25,1,1,81.29,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6630-UJZMY,4,Month-to-month,Fiber optic,83.25,308.05,0,1,81.25,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8161-QYMTT,7,Month-to-month,Fiber optic,94.1,701.3,0,1,81.2,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1415-YFWLT,1,Month-to-month,Fiber optic,89.3,89.3,1,1,81.2,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2012-NWRPA,11,Month-to-month,Fiber optic,99.55,1131.2,1,1,81.07,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4626-GYCZP,7,Month-to-month,Fiber optic,93.85,635.6,1,1,81.05,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2446-BEGGB,6,Month-to-month,Fiber optic,98.25,560.6,1,1,80.94,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4750-ZRXIU,4,Month-to-month,Fiber optic,84.6,360.1,1,1,80.69,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9681-OXGVC,5,Month-to-month,Fiber optic,100.5,514.0,1,1,80.69,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9061-TIHDA,13,Month-to-month,Fiber optic,95.25,1233.65,1,1,80.64,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide personalized value-based offers | Review service quality and customer satisfaction
3988-RQIXO,1,Month-to-month,Fiber optic,91.3,91.3,1,1,80.59,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7450-NWRTR,12,Month-to-month,Fiber optic,99.45,1200.15,1,1,80.56,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6521-YYTYI,1,Month-to-month,Fiber optic,93.3,93.3,1,1,80.49,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1273-MTETI,4,Month-to-month,Fiber optic,88.85,372.45,1,1,80.31,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3793-MMFUH,13,Month-to-month,Fiber optic,95.05,1290.0,1,1,80.21,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide personalized value-based offers | Review service quality and customer satisfaction
2865-TCHJW,4,Month-to-month,Fiber optic,89.2,346.2,1,1,80.09,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0196-VULGZ,6,Month-to-month,Fiber optic,84.35,474.9,1,1,79.94,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1455-UGQVH,10,Month-to-month,Fiber optic,98.5,1037.75,1,1,79.91,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2656-TABEH,4,Month-to-month,Fiber optic,100.2,420.2,1,1,79.81,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4912-PIGUY,1,Month-to-month,Fiber optic,84.6,84.6,0,1,79.77,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7943-RQCHR,9,Month-to-month,Fiber optic,94.75,889.9,1,1,79.74,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8972-HJWNV,7,Month-to-month,Fiber optic,84.55,646.85,1,1,79.69,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1724-BQUHA,5,Month-to-month,Fiber optic,89.5,477.7,1,1,79.69,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3489-HHPFY,2,Month-to-month,Fiber optic,84.05,134.05,0,1,79.67,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9282-IZGQK,1,Month-to-month,Fiber optic,85.0,85.0,1,1,79.66,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9305-CDSKC,8,Month-to-month,Fiber optic,99.65,820.5,1,1,79.66,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0564-JJHGS,9,Month-to-month,Fiber optic,95.5,829.1,1,1,79.63,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6513-EECDB,1,Month-to-month,Fiber optic,73.55,73.55,1,1,79.56,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6350-XFYGW,4,Month-to-month,Fiber optic,94.75,422.4,0,1,79.54,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3722-WPXTK,1,Month-to-month,Fiber optic,88.35,88.35,1,1,79.53,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3320-VEOYC,14,Month-to-month,Fiber optic,95.6,1273.3,0,1,79.51,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide personalized value-based offers | Review service quality and customer satisfaction
8603-IJWDN,1,Month-to-month,Fiber optic,86.6,86.6,1,1,79.51,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2982-VPSGI,11,Month-to-month,Fiber optic,94.0,1078.9,1,1,79.4,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0107-YHINA,1,Month-to-month,Fiber optic,99.75,99.75,1,1,79.38,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8775-LHDJH,1,Month-to-month,Fiber optic,90.6,90.6,1,1,79.33,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0259-GBZSH,2,Month-to-month,Fiber optic,85.65,181.5,1,1,79.32,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1075-BGWOH,16,Month-to-month,Fiber optic,98.75,1587.55,1,1,79.31,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide personalized value-based offers | Review service quality and customer satisfaction
0021-IKXGC,1,Month-to-month,Fiber optic,72.1,72.1,0,1,79.3,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7668-XCFYV,17,Month-to-month,Fiber optic,92.55,1614.7,0,1,79.29,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide personalized value-based offers | Review service quality and customer satisfaction
4102-OQUPX,1,Month-to-month,Fiber optic,74.4,74.4,1,1,79.29,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1455-ESIQH,1,Month-to-month,Fiber optic,89.1,89.1,1,1,79.29,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7577-SWIFR,1,Month-to-month,Fiber optic,89.25,89.25,0,1,79.24,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2205-YMZZJ,7,Month-to-month,Fiber optic,84.8,546.95,1,1,79.22,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6474-FVJLC,2,Month-to-month,Fiber optic,86.0,165.45,1,1,79.17,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8473-VUVJN,1,Month-to-month,Fiber optic,73.65,73.65,1,1,79.16,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0970-ETWGE,1,Month-to-month,Fiber optic,89.55,89.55,1,1,79.14,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9134-CEQMF,7,Month-to-month,Fiber optic,89.5,676.7,1,1,79.14,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2725-KXXWT,1,Month-to-month,Fiber optic,90.75,90.75,1,1,79.12,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0187-QSXOE,7,Month-to-month,Fiber optic,89.0,605.45,0,1,79.04,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3027-ZTDHO,1,Month-to-month,Fiber optic,89.9,89.9,1,1,79.03,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8414-MYSHR,5,Month-to-month,Fiber optic,91.4,449.75,1,1,78.97,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8593-WHYHV,3,Month-to-month,Fiber optic,85.3,264.8,1,1,78.93,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3551-HUAZH,1,Month-to-month,Fiber optic,74.4,74.4,1,1,78.92,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5383-MMTWC,8,Month-to-month,Fiber optic,84.0,613.4,1,1,78.92,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1143-NMNQJ,2,Month-to-month,Fiber optic,85.7,169.8,1,1,78.92,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0723-DRCLG,1,Month-to-month,Fiber optic,74.45,74.45,1,1,78.91,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3389-YGYAI,8,Month-to-month,Fiber optic,105.5,829.55,1,1,78.91,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4847-TAJYI,6,Month-to-month,Fiber optic,89.35,567.8,0,1,78.88,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5240-IJOQT,1,Month-to-month,Fiber optic,74.7,74.7,1,1,78.82,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7274-RTAPZ,1,Month-to-month,Fiber optic,90.55,90.55,1,1,78.82,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9965-YOKZB,9,Month-to-month,Fiber optic,83.85,790.15,1,1,78.78,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7225-CBZPL,17,Month-to-month,Fiber optic,94.8,1563.9,0,1,78.73,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide personalized value-based offers | Review service quality and customer satisfaction
4927-WWOOZ,2,Month-to-month,Fiber optic,91.45,171.45,0,1,78.7,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1833-VGRUM,1,Month-to-month,Fiber optic,74.2,74.2,1,1,78.62,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4988-IQIGL,1,Month-to-month,Fiber optic,75.35,75.35,1,1,78.61,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2968-SSGAA,10,Month-to-month,Fiber optic,100.6,1060.2,1,1,78.57,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3319-DWOEP,6,Month-to-month,Fiber optic,95.75,573.75,1,1,78.48,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
